Arctic Cat, #2,140 - Sensor,"ACCEL PEDAL,SINGLE SENSOR"
Arctic Cat, #29,140 - Sensor,SENSOR LAMBDA NTK ZFAS
Arctic Cat, #3,140 - Sensor,"ACCEL PEDAL,SINGLE SENSOR"
Arctic Cat, #30,140 - Sensor,"ACCEL PEDAL,SINGLE SENSOR"
Arctic Cat, #31,020 - Voltage Regulator,VOLTAGE REGULATOR / V002
Arctic Cat, #6,020 - Voltage Regulator,VOLTAGE REGULATOR / V002
Arctic Cat, #6,140 - Sensor,SENSOR LAMBDA NTK ZFAS
Arctic Cat, #7,020 - Voltage Regulator,VOLTAGE REGULATOR / V002
Arctic Cat,Accelerator Pedal,140 - Sensor,"ACCEL PEDAL,SINGLE SENSOR"
Arctic Cat,Air Intake Assembly,060 - External Ignition Coil,"Coil, Ignition - w/Cap - Assembly (inc. 23)"
Arctic Cat,Air Intake Assembly,140 - Sensor,Sensor
Arctic Cat,Air Intake Assembly,140 - Sensor,"Sensor, Air Temperature"
Arctic Cat,Air Intake Assembly,140 - Sensor,"Sensor, Air Temperature (inc. 18)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"Sensor, Pressure"
Arctic Cat,Air Intake Assembly,140 - Sensor,"Sensor, Pressure - MAP"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 12)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 13)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 15)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 16)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 17)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 18)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 19)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 20)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 21)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 23)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 24)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 25)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 28)"
Arctic Cat,Air Intake Assembly,140 - Sensor,"SENSOR,AIR TEMP (inc. 6)"
Arctic Cat,Air Intake Assembly #2,140 - Sensor,"SENSOR,AIR TEMP (inc. 13)"
Arctic Cat,Air Intake Assembly (Ser. # 302246 And Below),140 - Sensor,"SENSOR,AIR TEMP (inc. 28)"
Arctic Cat,Air Intake Assembly (Ser. # 302247 And Above),140 - Sensor,"SENSOR,AIR TEMP (inc. 28)"
Arctic Cat,"Air Intake Silencer, Battery, And Oil Tank",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,Air Silencer And Oil Tank,140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,Air Silencer Assembly,140 - Sensor,"Sensor, Air Temperature"
Arctic Cat,Air Silencer Assembly,140 - Sensor,"Sensor, T-MAP"
Arctic Cat,"Air Silencer, And Oil Tank",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,"Air Silencer, Battery, And Oil Tank",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,"Air Silencer, Battery, And Oil Tank Assemblies",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,Airbox And Efi Assemblies,030 - CDI Box,ECU (ELECT. CONTROL UNIT)
Arctic Cat,Airbox And Efi Assemblies,140 - Sensor,"SENSOR, AIR TEMP."
Arctic Cat,Battery And Starter Assembly,090 - Starter Relay,"Solenoid, Starter Relay"
Arctic Cat,Battery And Starter Assembly,090 - Starter Relay,"SOLENOID,STARTER RELAY"
Arctic Cat,Battery And Starter Motor Assembly,090 - Starter Relay,Solenoid
Arctic Cat,Battery And Starter Motor Assembly,090 - Starter Relay,"Solenoid, Starter Relay"
Arctic Cat,Battery And Starter Motor Assembly,090 - Starter Relay,"SOLENOID,STARTER RELAY"
Arctic Cat,Battery And Starter Motor Assembly,140 - Sensor,"Sensor, Tilt"
Arctic Cat,Battery And Tray Assembly,090 - Starter Relay,"Solenoid, Starter Relay"
Arctic Cat,Battery Assembly,090 - Starter Relay,"Solenoid, Starter Relay"
Arctic Cat,"Battery, Air Silencer, And Oil Tank",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,Carburetor - External Parts,140 - Sensor,"Sensor, Throttle Position - Assembly"
Arctic Cat,Carburetor Assembly,140 - Sensor,Sensor Assembly
Arctic Cat,"Carburetor, Fuel Pump, Oil Tank, & Air Silencer",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal (inc. 32)"
Arctic Cat,"Carburetor, Fuel Pump, Oil Tank, And Air Silencer",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,"Carburetor, Fuel Pump, Oil Tank, And Air Silencer",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal (inc. 32)"
Arctic Cat,"Carburetor, Fuel Pump, Oil Tank, And Silencer",140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,Chain Case Assembly,140 - Sensor,"Kit, Gear Position Sensor"
Arctic Cat,Chain Case Assembly,140 - Sensor,"Kit, Speedometer Sensor"
Arctic Cat,Chain Case Assembly,140 - Sensor,"Sensor, Gear Position - Kit"
Arctic Cat,Chain Case Assembly,140 - Sensor,"Sensor, Speed"
Arctic Cat,Chassis And Bumper Assemblies,020 - Voltage Regulator,"Regulator, AC"
Arctic Cat,Chassis And Bumper Assemblies,020 - Voltage Regulator,"Regulator, DC"
Arctic Cat,"Chassis, Footrest, And Rear Bumper Assembly",020 - Voltage Regulator,"Regulator, Voltage"
Arctic Cat,Coolant And Oil Tank Assemblies,140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,Cooling Assembly,140 - Sensor,"Sensor, Coolant Temp"
Arctic Cat,Cooling Assembly,140 - Sensor,"Sensor, Coolant Temperature"
Arctic Cat,Cooling Assembly,140 - Sensor,"Sensor, Engine Coolant Temperature"
Arctic Cat,Cooling Assembly,140 - Sensor,"Sensor, Engine Coolant Temperature - Assembly (inc. 33)"
Arctic Cat,Cooling Assembly,140 - Sensor,"SENSOR, HEAT-RADIATOR"
Arctic Cat,Cooling Assembly,140 - Sensor,"Sensor, Oil Level - Rotary - w/Seal"
Arctic Cat,Cooling Assembly,140 - Sensor,"SENSOR,WATER TEMP.-ASSY"
Arctic Cat,Cooling Assembly #2,140 - Sensor,"SENSOR,WATER TEMP.-ASSY"
Arctic Cat,Crankcase Assembly,140 - Sensor,"Sensor, Coolant Temp"
Arctic Cat,Crankcase Assembly,140 - Sensor,"Sensor, Crankshaft (inc. 17)"
Arctic Cat,Crankcase Assembly,140 - Sensor,"Sensor, Engine Coolant Temperature"
Arctic Cat,Crankcase Assembly,140 - Sensor,"Sensor, Knock"
Arctic Cat,Crankcase Assembly,140 - Sensor,"Sensor, Oil Pressure"
Arctic Cat,Crankshaft Balancer And Starter Gear Assemblies,120 - Flywheel,"ROTOR,IGNITION,EFI (H1-SO-SJ)"
Arctic Cat,Cylinder And Head Assembly,140 - Sensor,"Sensor, Heat - L/C"
Arctic Cat,Cylinder And Head Assembly,140 - Sensor,"SENSOR, TEMP-200D ASSY"
